length	gc
ENSG00000100600	44896	0.473
ENSG00000100601	35608	0.424
ENSG00000100603	43554	0.411
ENSG00000100605	179005	0.538
ENSG00000100612	25062	0.397
ENSG00000100614	53336	0.361
ENSG00000100625	14784	0.441
ENSG00000100626	94510	0.484
ENSG00000100628	42578	0.524
ENSG00000100629	482503	0.366
ENSG00000100632	18182	0.402
ENSG00000100644	52859	0.373
ENSG00000100647	103552	0.448
ENSG00000100650	45104	0.437
ENSG00000100664	11023	0.44
ENSG00000100697	71783	0.38
ENSG00000100711	17925	0.57
ENSG00000100714	71967	0.437
ENSG00000100722	50601	0.405
ENSG00000100726	17109	0.631
ENSG00000100731	207978	0.369
ENSG00000100739	8554	0.447
ENSG00000100744	23839	0.389
ENSG00000100749	84268	0.361
ENSG00000100764	16073	0.439
ENSG00000100767	37143	0.552
ENSG00000100784	189827	0.389
ENSG00000100796	52858	0.4
ENSG00000100802	23251	0.457
ENSG00000100804	9370	0.476
ENSG00000100811	40270	0.451
ENSG00000100813	37050	0.454
ENSG00000100814	21945	0.395
ENSG00000100815	72161	0.379
ENSG00000100823	2642	0.474
ENSG00000100836	5998	0.51
ENSG00000100842	9234	0.54
ENSG00000100852	82746	0.367
ENSG00000100865	20298	0.461
ENSG00000100883	46670	0.388
ENSG00000100888	52105	0.419
ENSG00000100889	9857	0.535
ENSG00000100897	10546	0.508
ENSG00000100902	25109	0.408
ENSG00000100906	3245	0.565
ENSG00000100908	2624	0.535
ENSG00000100911	3282	0.489
ENSG00000100916	45573	0.39
ENSG00000100918	8230	0.551
ENSG00000100926	25433	0.497
ENSG00000100934	71315	0.382
ENSG00000100938	6800	0.466
ENSG00000100941	8036	0.407
ENSG00000100949	6090	0.577
ENSG00000100968	12666	0.565
ENSG00000100979	13745	0.521
ENSG00000100982	13346	0.538
ENSG00000100983	27366	0.463
ENSG00000100991	90412	0.429
ENSG00000100994	49943	0.522
ENSG00000100997	96240	0.474
ENSG00000101000	5392	0.527
ENSG00000101003	40869	0.414
ENSG00000101004	132816	0.491
ENSG00000101017	11479	0.494
ENSG00000101019	109577	0.43
ENSG00000101040	147094	0.462
ENSG00000101052	56284	0.445
ENSG00000101079	94373	0.445
ENSG00000101084	6824	0.492
ENSG00000101098	58535	0.495
ENSG00000101104	49097	0.472
ENSG00000101109	113474	0.385
ENSG00000101126	40645	0.414
ENSG00000101132	11991	0.407
ENSG00000101134	175445	0.399
ENSG00000101138	12156	0.413
ENSG00000101146	27375	0.445
ENSG00000101150	26318	0.544
ENSG00000101152	40930	0.514
ENSG00000101158	13926	0.486
ENSG00000101160	12068	0.568
ENSG00000101161	52023	0.506
ENSG00000101166	9702	0.407
ENSG00000101181	19730	0.499
ENSG00000101182	6732	0.523
ENSG00000101189	4141	0.607
ENSG00000101190	20649	0.489
ENSG00000101191	60215	0.492
ENSG00000101193	10387	0.49
ENSG00000101194	15951	0.619
ENSG00000101199	16978	0.597
ENSG00000101210	11304	0.635
ENSG00000101216	39427	0.534
ENSG00000101220	14890	0.563
ENSG00000101224	19184	0.528
ENSG00000101230	78880	0.44
ENSG00000101236	84148	0.401
ENSG00000101246	9371	0.624
ENSG00000101247	33396	0.399
ENSG00000101255	16896	0.517
ENSG00000101265	43623	0.49
ENSG00000101266	61145	0.409
ENSG00000101278	NA	NA
ENSG00000101290	71127	0.448
ENSG00000101294	55130	0.494
ENSG00000101298	43012	0.505
ENSG00000101307	55661	0.442
ENSG00000101310	53872	0.43
ENSG00000101311	48700	0.427
ENSG00000101333	411762	0.391
ENSG00000101335	8340	0.584
ENSG00000101337	57753	0.475
ENSG00000101342	18063	0.502
ENSG00000101343	21679	0.391
ENSG00000101346	30772	0.476
ENSG00000101347	60020	0.437
ENSG00000101350	57358	0.438
ENSG00000101353	78346	0.453
ENSG00000101361	5862	0.531
ENSG00000101363	27613	0.474
ENSG00000101365	5825	0.514
ENSG00000101367	30513	0.444
ENSG00000101384	36363	0.475
ENSG00000101391	42731	0.444
ENSG00000101400	35936	0.504
ENSG00000101407	50411	0.433
ENSG00000101412	10919	0.555
ENSG00000101413	58819	0.419
ENSG00000101417	17587	0.494
ENSG00000101421	43064	0.464
ENSG00000101439	10041	0.527
ENSG00000101442	23993	0.449
ENSG00000101444	31538	0.504
ENSG00000101447	26749	0.465
ENSG00000101452	77386	0.413
ENSG00000101457	19491	0.46
ENSG00000101460	13462	0.525
ENSG00000101464	116744	0.443
ENSG00000101470	4099	0.559
ENSG00000101473	15689	0.491
ENSG00000101474	29846	0.464
ENSG00000101493	137510	0.476
ENSG00000101544	31314	0.424
ENSG00000101546	59443	0.453
ENSG00000101557	55257	0.38
ENSG00000101558	46064	0.372
ENSG00000101574	33966	0.368
ENSG00000101577	94954	0.413
ENSG00000101596	149130	0.368
ENSG00000101605	153302	0.406
ENSG00000101608	8707	0.386
ENSG00000101624	40822	0.409
ENSG00000101639	133691	0.404
ENSG00000101654	37851	0.39
ENSG00000101665	30859	0.521
ENSG00000101680	176071	0.431
ENSG00000101745	149233	0.372
ENSG00000101751	28756	0.357
ENSG00000101752	165995	0.386
ENSG00000101773	93155	0.381
ENSG00000101782	30313	0.416
ENSG00000101811	20576	0.389
ENSG00000101825	38076	0.432
ENSG00000101843	7440	0.38
ENSG00000101844	63003	0.4
ENSG00000101846	207390	0.412
ENSG00000101849	256446	0.452
ENSG00000101856	8219	0.426
ENSG00000101868	303045	0.388
ENSG00000101871	438460	0.348
ENSG00000101882	18723	0.418
ENSG00000101888	8918	0.374
ENSG00000101901	79530	0.37
ENSG00000101911	32873	0.428
ENSG00000101928	27636	0.408
ENSG00000101935	246048	0.388
ENSG00000101938	122203	0.395
ENSG00000101940	7703	0.561
ENSG00000101945	13462	0.543
ENSG00000101955	71590	0.415
ENSG00000101966	54168	0.419
ENSG00000101972	142031	0.375
ENSG00000101974	105943	0.376
ENSG00000101986	19894	0.584
ENSG00000101997	15061	0.536
ENSG00000102003	12397	0.525
ENSG00000102007	3285	0.55
ENSG00000102024	90003	0.39
ENSG00000102030	5328	0.586
ENSG00000102032	9511	0.559
ENSG00000102034	45794	0.518
ENSG00000102038	76983	0.369
ENSG00000102053	19153	0.408
ENSG00000102054	25760	0.421
ENSG00000102057	9613	0.54
ENSG00000102078	33408	0.378
ENSG00000102081	39179	0.364
ENSG00000102096	5955	0.537
ENSG00000102098	115412	0.396
ENSG00000102100	8777	0.52
ENSG00000102103	5228	0.527
ENSG00000102119	2287	0.62
ENSG00000102125	10187	0.56
ENSG00000102144	22659	0.414
ENSG00000102158	69204	0.409
ENSG00000102172	54265	0.435
ENSG00000102174	215558	0.402
ENSG00000102178	2877	0.607
ENSG00000102181	132481	0.43
ENSG00000102189	156823	0.37
ENSG00000102218	45445	0.394
ENSG00000102221	148906	0.404
ENSG00000102225	11867	0.543
ENSG00000102226	15414	0.483
ENSG00000102241	15266	0.379
ENSG00000102265	4501	0.538
ENSG00000102287	21556	0.469
ENSG00000102302	50713	0.5
ENSG00000102309	82289	0.448
ENSG00000102312	11832	0.517
ENSG00000102316	8275	0.521
ENSG00000102317	6813	0.478
ENSG00000102349	55501	0.388
ENSG00000102359	27134	0.434
ENSG00000102362	57647	0.414
ENSG00000102384	64801	0.406
ENSG00000102385	44553	0.452
ENSG00000102387	24819	0.41
ENSG00000102390	5263	0.428
ENSG00000102393	10223	0.437
ENSG00000102401	4712	0.447
ENSG00000102409	2109	0.525
ENSG00000102445	96189	0.405
ENSG00000102452	362714	0.38
ENSG00000102466	680920	0.373
ENSG00000102468	65535	0.393
ENSG00000102471	74954	0.355
ENSG00000102524	38856	0.342
ENSG00000102531	233868	0.371
ENSG00000102543	45576	0.384
ENSG00000102547	135436	0.384
ENSG00000102554	22563	0.39
ENSG00000102572	126942	0.47
ENSG00000102575	4327	0.584
ENSG00000102580	117851	0.398
ENSG00000102595	251901	0.37
ENSG00000102606	190458	0.445
ENSG00000102678	33426	0.429
ENSG00000102683	144245	0.392
ENSG00000102699	91880	0.429
ENSG00000102710	50400	0.357
ENSG00000102738	41916	0.393
ENSG00000102743	23050	0.462
ENSG00000102753	93615	0.387
ENSG00000102755	194783	0.416
ENSG00000102760	13472	0.46
ENSG00000102763	394261	0.372
ENSG00000102780	216545	0.382
ENSG00000102781	104858	0.384
ENSG00000102786	91575	0.356
ENSG00000102796	36170	0.472
ENSG00000102802	19398	0.456
ENSG00000102804	144423	0.379
ENSG00000102805	10594	0.406
ENSG00000102858	66151	0.556
ENSG00000102870	8754	0.577
ENSG00000102871	5724	0.587
ENSG00000102878	6561	0.626
ENSG00000102882	9205	0.559
ENSG00000102886	8748	0.536
ENSG00000102890	4900	0.64
ENSG00000102893	240225	0.382
ENSG00000102897	24772	0.441
ENSG00000102898	24401	0.51
ENSG00000102900	114845	0.422
ENSG00000102901	19302	0.536
ENSG00000102904	20995	0.518
ENSG00000102908	138701	0.385
ENSG00000102910	7315	0.381
ENSG00000102921	71484	0.416
ENSG00000102931	8508	0.454
ENSG00000102935	367316	0.507
ENSG00000102967	16674	0.494
ENSG00000102974	76779	0.453
ENSG00000102977	3304	0.62
ENSG00000102978	9371	0.48
ENSG00000102981	1831	0.632
ENSG00000102984	24511	0.458
ENSG00000102996	21523	0.596
ENSG00000103005	20251	0.478
ENSG00000103018	41670	0.398
ENSG00000103021	33895	0.436
ENSG00000103024	1390	0.701
ENSG00000103034	49975	0.536
ENSG00000103035	9514	0.435
ENSG00000103037	5049	0.495
ENSG00000103042	18377	0.525
ENSG00000103043	113720	0.54
ENSG00000103044	13153	0.55
ENSG00000103047	241577	0.431
ENSG00000103051	42986	0.472
ENSG00000103056	90180	0.51
ENSG00000103061	10351	0.463
ENSG00000103064	37308	0.478
ENSG00000103066	15715	0.538
ENSG00000103091	111547	0.442
ENSG00000103111	8708	0.519
ENSG00000103121	30804	0.392
ENSG00000103126	65237	0.544
ENSG00000103145	1662	0.637
ENSG00000103148	54425	0.512
ENSG00000103150	17058	0.479
ENSG00000103152	8833	0.619
ENSG00000103160	23057	0.451
ENSG00000103168	9224	0.591
ENSG00000103174	9098	0.563
ENSG00000103175	35050	0.499
ENSG00000103184	60839	0.498
ENSG00000103187	52466	0.502
ENSG00000103194	79973	0.436
ENSG00000103196	89530	0.504
ENSG00000103197	40724	0.599
ENSG00000103199	16352	0.539
ENSG00000103202	4030	0.638
ENSG00000103222	193497	0.485
ENSG00000103226	62280	0.455
ENSG00000103227	127684	0.568
ENSG00000103241	3938	0.591
ENSG00000103245	11229	0.605
ENSG00000103248	25060	0.491
ENSG00000103249	30152	0.598
ENSG00000103253	2758	0.716
ENSG00000103254	1449	0.719
ENSG00000103257	39472	0.584
ENSG00000103260	2308	0.706
ENSG00000103264	62767	0.518
ENSG00000103266	2654	0.652
ENSG00000103269	2562	0.68
ENSG00000103274	25511	0.506
ENSG00000103275	17866	0.593
ENSG00000103316	64210	0.432
ENSG00000103319	82475	0.478
ENSG00000103326	26781	0.649
ENSG00000103335	69627	0.619
ENSG00000103342	48535	0.425
ENSG00000103343	8175	0.466
ENSG00000103351	38107	0.456
ENSG00000103353	16849	0.473
ENSG00000103356	35363	0.477
ENSG00000103363	5883	0.555
ENSG00000103365	46953	0.481
ENSG00000103381	144089	0.444
ENSG00000103404	87864	0.414
ENSG00000103415	35630	0.476
ENSG00000103423	30970	0.49
ENSG00000103429	36426	0.461
ENSG00000103449	15298	0.443
ENSG00000103472	41876	0.44
ENSG00000103479	57210	0.386
ENSG00000103485	NA	NA
ENSG00000103489	368558	0.459
ENSG00000103490	1291	0.65
ENSG00000103494	103954	0.373
ENSG00000103495	5088	0.665
ENSG00000103496	7073	0.547
ENSG00000103502	4901	0.565
ENSG00000103507	4498	0.614
ENSG00000103510	13730	0.521
ENSG00000103512	62372	0.455
ENSG00000103540	29550	0.378
ENSG00000103544	145749	0.45
ENSG00000103549	14696	0.559
ENSG00000103550	11819	0.528
ENSG00000103591	54524	0.395
ENSG00000103599	247005	0.392
ENSG00000103642	20262	0.4
ENSG00000103647	148837	0.493
ENSG00000103653	21115	0.566
ENSG00000103657	225331	0.388
ENSG00000103671	67500	0.421
ENSG00000103707	28128	0.4
ENSG00000103710	23354	0.521
ENSG00000103723	50603	0.489
ENSG00000103742	41586	0.519
ENSG00000103769	22533	0.393
ENSG00000103811	23329	0.519
ENSG00000103852	114901	0.418
ENSG00000103855	30238	0.523
ENSG00000103876	33794	0.498
ENSG00000103888	172288	0.47
ENSG00000103932	27090	0.504
ENSG00000103942	103748	0.459
ENSG00000103966	73117	0.47
ENSG00000103978	63030	0.389
ENSG00000103994	59496	0.411
ENSG00000103995	73209	0.36
ENSG00000104043	260985	0.379
ENSG00000104047	24108	0.351
ENSG00000104064	78217	0.394
ENSG00000104067	122350	0.389
ENSG00000104081	20995	0.525
ENSG00000104093	175047	0.369
ENSG00000104129	39610	0.498
ENSG00000104131	25736	0.421
ENSG00000104133	100983	0.413
ENSG00000104142	9546	0.536
ENSG00000104154	40323	0.401
ENSG00000104164	22493	0.388
ENSG00000104177	38930	0.339
ENSG00000104205	149605	0.402
ENSG00000104213	66701	0.447
ENSG00000104218	132247	0.379
ENSG00000104219	66406	0.382
ENSG00000104221	6034	0.499
ENSG00000104228	26431	0.457
ENSG00000104231	19974	0.353
ENSG00000104299	122524	0.42
ENSG00000104312	33318	0.36
ENSG00000104313	164800	0.375
ENSG00000104320	51336	0.362
ENSG00000104321	54334	0.362
ENSG00000104324	498224	0.381
ENSG00000104325	50648	0.382
ENSG00000104331	35943	0.382
ENSG00000104332	47515	0.486
ENSG00000104341	77022	0.44
ENSG00000104343	98814	0.393
ENSG00000104356	42549	0.418
ENSG00000104361	102235	0.39
ENSG00000104365	61352	0.482
ENSG00000104368	32959	0.487
ENSG00000104375	487941	0.386
ENSG00000104381	16718	0.383
ENSG00000104388	106735	0.392
ENSG00000104408	46988	0.361
ENSG00000104412	43284	0.347
ENSG00000104415	40651	0.481
ENSG00000104419	60134	0.504
ENSG00000104427	53716	0.348
ENSG00000104432	72752	0.364
ENSG00000104442	31762	0.426
ENSG00000104447	260505	0.354
ENSG00000104450	83870	0.406
ENSG00000104472	5856	0.476
ENSG00000104490	438366	0.406
ENSG00000104497	42704	0.349
ENSG00000104517	160416	0.383
ENSG00000104518	9675	0.62
ENSG00000104522	4945	0.643
ENSG00000104524	5702	0.606
ENSG00000104529	17979	0.607
ENSG00000104549	23806	0.376
ENSG00000104611	82649	0.427
ENSG00000104613	34669	0.41
ENSG00000104626	30536	0.374
ENSG00000104635	66879	0.483
ENSG00000104643	43655	0.378
ENSG00000104660	42301	0.421
ENSG00000104671	27343	0.416
ENSG00000104679	8181	0.569
ENSG00000104687	49907	0.447
ENSG00000104689	33711	0.454
ENSG00000104691	22831	0.433
ENSG00000104695	27227	0.41
ENSG00000104714	67027	0.509
ENSG00000104722	5333	0.485
ENSG00000104723	226563	0.363
ENSG00000104725	NA	NA
ENSG00000104728	134659	0.5
ENSG00000104731	62870	0.526
ENSG00000104738	17957	0.458
ENSG00000104756	30621	0.373
ENSG00000104763	28583	0.408
ENSG00000104765	30122	0.403
ENSG00000104774	20270	0.54
ENSG00000104804	17775	0.512
ENSG00000104805	23234	0.528
ENSG00000104812	25229	0.526
ENSG00000104823	16436	0.514
ENSG00000104824	34889	0.517
ENSG00000104825	9195	0.508
ENSG00000104852	23406	0.536
ENSG00000104853	38763	0.528
ENSG00000104856	36750	0.512
ENSG00000104859	31917	0.54
ENSG00000104863	4100	0.586
ENSG00000104866	54113	0.555
ENSG00000104870	14150	0.532
ENSG00000104872	5566	0.563
ENSG00000104880	89652	0.514
ENSG00000104881	26716	0.534
ENSG00000104883	12531	0.558
ENSG00000104884	19197	0.563
ENSG00000104885	68430	0.595
ENSG00000104886	3797	0.62
ENSG00000104889	7035	0.516
ENSG00000104894	5434	0.59
ENSG00000104897	11863	0.584
ENSG00000104899	2960	0.71
ENSG00000104904	3968	0.64
ENSG00000104907	11850	0.542
ENSG00000104915	6317	0.553
ENSG00000104936	12840	0.591
ENSG00000104946	11326	0.575
ENSG00000104953	17647	0.54
ENSG00000104957	31533	0.504
ENSG00000104960	10008	0.619
ENSG00000104964	10057	0.603
ENSG00000104969	28643	0.578
ENSG00000104973	20501	0.56
ENSG00000104976	2943	0.642
ENSG00000104979	4330	0.558
ENSG00000104980	17106	0.564
ENSG00000104983	23156	0.522
ENSG00000104998	21166	0.519
ENSG00000105011	17120	0.508
ENSG00000105048	16446	0.556
ENSG00000105053	49082	0.509
ENSG00000105058	6623	0.53
ENSG00000105063	28892	0.563
ENSG00000105072	24959	0.516
ENSG00000105085	149148	0.519
ENSG00000105088	82677	0.505
ENSG00000105127	26281	0.533
ENSG00000105135	10793	0.572
ENSG00000105136	6970	0.486
ENSG00000105137	7576	0.603
ENSG00000105146	4540	0.494
ENSG00000105171	10993	0.504
ENSG00000105173	12315	0.472
ENSG00000105176	92969	0.379
ENSG00000105185	6265	0.452
ENSG00000105186	78196	0.486
ENSG00000105193	2772	0.511
ENSG00000105197	10477	0.542
ENSG00000105202	11962	0.484
ENSG00000105204	8852	0.572
ENSG00000105220	37674	0.526
ENSG00000105221	55079	0.536
ENSG00000105223	30059	0.521
ENSG00000105227	19601	0.558
ENSG00000105229	30319	0.592
ENSG00000105245	24745	0.523
ENSG00000105248	21975	0.528
ENSG00000105254	10962	0.547
ENSG00000105255	19253	0.547
ENSG00000105258	1596	0.61
ENSG00000105270	18236	0.525
ENSG00000105281	13703	0.544
ENSG00000105287	42812	0.52
ENSG00000105290	11562	0.571
ENSG00000105298	16187	0.616
ENSG00000105321	15480	0.559
ENSG00000105323	45421	0.48
ENSG00000105325	30461	0.605
ENSG00000105327	11945	0.597
ENSG00000105329	23020	0.524
ENSG00000105339	67187	0.512
ENSG00000105341	8621	0.51
ENSG00000105355	29435	0.524
ENSG00000105364	8097	0.56
ENSG00000105372	11497	0.533
ENSG00000105373	25349	0.536
ENSG00000105376	6800	0.64
ENSG00000105379	21264	0.515
ENSG00000105393	15580	0.541
ENSG00000105397	30074	0.543
ENSG00000105401	12463	0.548
ENSG00000105402	27625	0.555
ENSG00000105404	2696	0.616
ENSG00000105419	16411	0.565
ENSG00000105426	182309	0.525
ENSG00000105429	53161	0.547
ENSG00000105438	8984	0.534
ENSG00000105443	13107	0.582
ENSG00000105447	11249	0.558
ENSG00000105464	50057	0.526
ENSG00000105472	2377	0.664
ENSG00000105483	52799	0.424
ENSG00000105486	54858	0.514
ENSG00000105497	18461	0.41
ENSG00000105499	63010	0.477
ENSG00000105514	17623	0.508
ENSG00000105516	6823	0.581
ENSG00000105518	3530	0.539
ENSG00000105519	2030	0.638
ENSG00000105520	10313	0.573
ENSG00000105538	20129	0.537
ENSG00000105552	16002	0.546
ENSG00000105556	39217	0.537
ENSG00000105559	31531	0.511
ENSG00000105568	36624	0.483
ENSG00000105576	24803	0.54
ENSG00000105583	1585	0.569
ENSG00000105605	30979	0.505
ENSG00000105607	8871	0.55
ENSG00000105612	6311	0.527
ENSG00000105617	4068	0.549
ENSG00000105618	16361	0.571
ENSG00000105619	8736	0.55
ENSG00000105639	23251	0.549
ENSG00000105640	3447	0.583
ENSG00000105643	12968	0.58
ENSG00000105649	7264	0.551
ENSG00000105650	47459	0.541
ENSG00000105655	3914	0.666
ENSG00000105656	79465	0.555
ENSG00000105662	98719	0.561
ENSG00000105668	11653	0.525
ENSG00000105669	19877	0.571
ENSG00000105671	8959	0.571
ENSG00000105672	3127	0.649
ENSG00000105676	25924	0.513
ENSG00000105677	1928	0.586
ENSG00000105696	8168	0.566
ENSG00000105698	10823	0.573
ENSG00000105699	19309	0.54
ENSG00000105700	11626	0.534
ENSG00000105701	11816	0.563
ENSG00000105705	44000	0.513
ENSG00000105708	22641	0.42
ENSG00000105711	9762	0.557
ENSG00000105717	57210	0.499
ENSG00000105722	7593	0.641
ENSG00000105723	12399	0.532
ENSG00000105726	18494	0.58
ENSG00000105732	13092	0.57
ENSG00000105737	67490	0.512
ENSG00000105738	301141	0.498
ENSG00000105750	27445	0.378
ENSG00000105755	20526	0.486
ENSG00000105767	17470	0.533
ENSG00000105771	23842	0.5
ENSG00000105778	543861	0.41
ENSG00000105784	203885	0.355
ENSG00000105792	65890	0.361
ENSG00000105793	51080	0.375
ENSG00000105808	169052	0.487
ENSG00000105810	231707	0.382
ENSG00000105819	32086	0.385
ENSG00000105821	32400	0.406
ENSG00000105825	5595	0.393
ENSG00000105829	41609	0.357
ENSG00000105835	36907	0.366
ENSG00000105849	13576	0.362
ENSG00000105854	30211	0.382
ENSG00000105855	85058	0.374
ENSG00000105856	33569	0.38
ENSG00000105865	14567	0.371
ENSG00000105866	86463	0.384
ENSG00000105875	27727	0.474
ENSG00000105877	358354	0.387
ENSG00000105879	17805	0.363
ENSG00000105887	NA	NA
ENSG00000105889	80839	0.415
ENSG00000105894	116455	0.382
ENSG00000105926	114414	0.359
ENSG00000105928	59666	0.457
ENSG00000105939	66200	0.434
ENSG00000105948	56061	0.382
ENSG00000105953	102549	0.462
ENSG00000105968	21238	0.415
ENSG00000105971	220469	0.378
ENSG00000105974	271334	0.384
ENSG00000105976	125982	0.39
ENSG00000105982	36468	0.419
ENSG00000105983	212333	0.388
ENSG00000105989	46658	0.423
ENSG00000105991	3012	0.467
ENSG00000105993	80424	0.48
ENSG00000105996	2422	0.497
ENSG00000105997	20831	0.503
ENSG00000106003	16648	0.628
ENSG00000106004	2617	0.535
ENSG00000106009	17949	0.551
ENSG00000106012	55737	0.528
ENSG00000106025	70804	0.371
ENSG00000106028	12168	0.384
ENSG00000106034	308748	0.366
ENSG00000106049	137562	0.369
ENSG00000106052	90395	0.357
ENSG00000106069	367745	0.421
ENSG00000106070	203400	0.455
ENSG00000106077	2766	0.6
ENSG00000106080	16219	0.388
ENSG00000106086	89985	0.396
ENSG00000106089	20483	0.589
ENSG00000106100	54251	0.468
ENSG00000106105	39468	0.388
ENSG00000106123	16056	0.524
ENSG00000106125	120970	0.482
ENSG00000106133	21039	0.53
ENSG00000106144	19482	0.434
ENSG00000106153	4922	0.45
ENSG00000106211	1740	0.633
ENSG00000106244	14008	0.524
ENSG00000106245	10648	0.479
ENSG00000106246	22101	0.546
ENSG00000106258	87007	0.412
ENSG00000106261	22185	0.452
ENSG00000106263	25904	0.515
ENSG00000106266	62695	0.534
ENSG00000106268	8924	0.568
ENSG00000106290	12789	0.54
ENSG00000106299	67120	0.354
ENSG00000106305	14584	0.469
ENSG00000106330	3276	0.573
ENSG00000106333	5917	0.61
ENSG00000106344	33527	0.42
ENSG00000106346	56646	0.456
ENSG00000106348	17706	0.569
ENSG00000106351	29010	0.498
ENSG00000106355	9926	0.396
ENSG00000106366	12178	0.504
ENSG00000106367	6872	0.551
ENSG00000106392	66035	0.373
ENSG00000106397	11754	0.588
ENSG00000106399	81664	0.372
ENSG00000106400	6487	0.54
ENSG00000106404	6729	0.596
ENSG00000106415	120336	0.365
ENSG00000106443	195752	0.348
ENSG00000106459	145368	0.411
ENSG00000106460	26043	0.344
ENSG00000106462	76978	0.392
ENSG00000106477	47440	0.398
ENSG00000106479	29060	0.489
ENSG00000106483	10991	0.385
ENSG00000106484	20123	0.449
ENSG00000106524	46042	0.38
ENSG00000106537	30811	0.39
ENSG00000106538	3357	0.624
ENSG00000106546	47500	0.345
ENSG00000106554	297206	0.39
ENSG00000106565	10073	0.517
ENSG00000106571	276071	0.416
ENSG00000106588	15344	0.383
ENSG00000106591	5515	0.398
ENSG00000106603	121086	0.404
ENSG00000106605	48670	0.443
ENSG00000106608	50496	0.457
ENSG00000106609	37336	0.448
ENSG00000106610	18889	0.448
ENSG00000106615	53913	0.419
ENSG00000106617	321116	0.489
ENSG00000106624	10205	0.627
ENSG00000106628	8891	0.544
ENSG00000106633	45153	0.504
ENSG00000106635	21383	0.488
ENSG00000106636	13316	0.481
ENSG00000106638	9737	0.527
ENSG00000106665	116469	0.521
ENSG00000106682	22724	0.452
ENSG00000106683	38749	0.543
ENSG00000106686	113289	0.414
ENSG00000106688	97043	0.421
ENSG00000106692	82989	0.374
ENSG00000106701	101071	0.375
ENSG00000106714	215537	0.382
ENSG00000106723	90783	0.414
ENSG00000106733	27018	0.406
ENSG00000106771	104811	0.395
ENSG00000106772	294712	0.41
ENSG00000106780	113570	0.382
ENSG00000106785	49920	0.467
ENSG00000106799	49062	0.385
ENSG00000106803	8332	0.419
ENSG00000106804	97941	0.381
ENSG00000106809	20689	0.37
ENSG00000106819	26356	0.383
ENSG00000106823	43076	0.389
ENSG00000106829	154779	0.393
ENSG00000106853	50134	0.432
ENSG00000106868	134496	0.427
ENSG00000106948	64320	0.507
ENSG00000106976	51865	0.551
ENSG00000106991	39762	0.532
ENSG00000106992	11264	0.602
ENSG00000106993	27029	0.371
ENSG00000107020	272105	0.402
ENSG00000107021	23202	0.521
ENSG00000107036	147438	0.374
ENSG00000107077	459154	0.404
ENSG00000107099	250395	0.415
ENSG00000107104	275813	0.42
ENSG00000107130	64727	0.547
ENSG00000107140	4758	0.593
ENSG00000107159	7240	0.525
ENSG00000107164	58780	0.47
ENSG00000107175	4689	0.491
ENSG00000107185	3988	0.539
ENSG00000107186	173861	0.358
ENSG00000107201	71023	0.396
ENSG00000107223	4168	0.578
ENSG00000107249	475908	0.4
ENSG00000107262	12290	0.453
ENSG00000107263	163061	0.484
ENSG00000107281	6768	0.659
ENSG00000107282	244827	0.414
ENSG00000107290	93546	0.41
ENSG00000107317	6649	0.663
ENSG00000107331	21689	0.667
ENSG00000107338	153316	0.51
ENSG00000107341	103220	0.422
ENSG00000107362	48781	0.382
ENSG00000107371	5379	0.415
ENSG00000107372	13823	0.399
ENSG00000107404	13835	0.659
ENSG00000107438	53581	0.438
ENSG00000107443	17467	0.397
ENSG00000107518	855373	0.354
ENSG00000107521	30750	0.497
ENSG00000107537	22335	0.455
ENSG00000107551	34954	0.533
ENSG00000107554	134343	0.437
ENSG00000107560	41688	0.354
ENSG00000107562	14945	0.512
ENSG00000107566	35968	0.382
ENSG00000107581	45794	0.418
ENSG00000107611	305852	0.395
ENSG00000107614	59089	0.366
ENSG00000107623	13351	0.529
ENSG00000107625	45570	0.403
ENSG00000107643	128398	0.374
ENSG00000107651	52086	0.402
ENSG00000107669	185593	0.391
ENSG00000107672	18141	0.439
ENSG00000107679	57778	0.367
ENSG00000107719	89643	0.522
ENSG00000107731	90344	0.544
ENSG00000107738	26024	0.539
ENSG00000107745	258866	0.402
ENSG00000107758	59220	0.39
ENSG00000107771	189867	0.375
ENSG00000107779	168550	0.399
ENSG00000107789	48996	0.382
ENSG00000107796	56317	0.403
ENSG00000107798	201057	0.414
ENSG00000107815	6866	0.52
ENSG00000107816	10730	0.603
ENSG00000107819	10003	0.54
ENSG00000107821	6893	0.595
ENSG00000107829	84323	0.457
ENSG00000107833	2089	0.574
ENSG00000107854	67082	0.376
ENSG00000107862	137402	0.436
ENSG00000107863	140060	0.39
ENSG00000107864	242479	0.409
ENSG00000107872	3915	0.619
ENSG00000107874	9422	0.529
ENSG00000107882	129496	0.48
ENSG00000107890	96383	0.376
ENSG00000107897	46926	0.41
ENSG00000107902	152370	0.534
ENSG00000107929	124792	0.427
ENSG00000107937	29360	0.47
ENSG00000107938	44629	0.391
ENSG00000107949	30161	0.429
ENSG00000107951	64648	0.434
ENSG00000107957	266880	0.517
ENSG00000107959	35918	0.464
ENSG00000107960	40728	0.427
ENSG00000107968	27813	0.426
ENSG00000107984	3377	0.447
ENSG00000108001	128596	0.488
ENSG00000108010	48147	0.422
ENSG00000108021	78903	0.388
ENSG00000108039	58788	0.446
ENSG00000108055	36944	0.369
ENSG00000108061	94125	0.351
ENSG00000108064	14088	0.379
ENSG00000108091	117909	0.409
ENSG00000108094	82092	0.397
